Area,Year,Item,Area Harvested,Yield,Humidity,Wind Speed,Temperature,Production
Bangladesh,1966,Linseed,21900,4155,NaN,NaN,NaN,9100
Bangladesh,1966,Maize,3600,8333,NaN,NaN,NaN,3000
Bangladesh,1966,"Mangoes, mangosteens, guavas",38000,130263,NaN,NaN,NaN,495000
Bangladesh,1966,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1966,Millet,52200,9538,NaN,NaN,NaN,49786
Bangladesh,1966,Oilseeds nes,4856,4185,NaN,NaN,NaN,2032
Bangladesh,1966,"Onions, dry",28300,53145,NaN,NaN,NaN,150400
Bangladesh,1966,Oranges,1100,81818,NaN,NaN,NaN,9000
Bangladesh,1966,"Peas, dry",55000,6545,NaN,NaN,NaN,36000
Bangladesh,1966,Pigeon peas,3642,8369,NaN,NaN,NaN,3048
Bangladesh,1966,Pineapples,8100,70247,NaN,NaN,NaN,56900
Bangladesh,1966,Potatoes,60700,81351,NaN,NaN,NaN,493800
Bangladesh,1966,Pulses nes,150100,6769,NaN,NaN,NaN,101600
Bangladesh,1966,"Rice, paddy",9075000,15827,NaN,NaN,NaN,14363000
Bangladesh,1966,Sesame seed,50200,5458,NaN,NaN,NaN,27400
Bangladesh,1966,Sorghum,809,8789,NaN,NaN,NaN,711
Bangladesh,1966,Spices nes,13400,29552,NaN,NaN,NaN,39600
Bangladesh,1966,Spinach,1450,46207,NaN,NaN,NaN,6700
Bangladesh,1966,Sugar cane,153400,500078,NaN,NaN,NaN,7671200
Bangladesh,1966,Sugar crops nes,11300,371681,NaN,NaN,NaN,420000
Bangladesh,1966,Sweet potatoes,44100,102948,NaN,NaN,NaN,454000
Bangladesh,1966,"Tangerines, mandarins, clementines, satsumas",700,57143,NaN,NaN,NaN,4000
Bangladesh,1966,Tea,39765,7192,NaN,NaN,NaN,28600
Bangladesh,1966,Tobacco,44100,6190,NaN,NaN,NaN,27300
Bangladesh,1966,Tomatoes,7987,71064,NaN,NaN,NaN,56759
Bangladesh,1966,"Vegetables, fresh nes",71000,70423,NaN,NaN,NaN,500000
Bangladesh,1966,Wheat,55000,35600,NaN,NaN,NaN,6473
Bangladesh,1966,Roots and Tubers,104800,90439,NaN,NaN,NaN,947800
Bangladesh,1966,Vegetables Primary,166284,61721,NaN,NaN,NaN,1026315
Bangladesh,1967,Areca nuts,38900,6922,NaN,NaN,NaN,26925
Bangladesh,1967,Bananas,43700,169725,NaN,NaN,NaN,741700
Bangladesh,1967,Barley,22700,6696,NaN,NaN,NaN,15200
Bangladesh,1967,"Bastfibres, others",51100,11342,NaN,NaN,NaN,57960
Bangladesh,1967,"Beans, dry",74058,7820,NaN,NaN,NaN,57912
Bangladesh,1967,"Beans, green",4236,44880,NaN,NaN,NaN,19011
Bangladesh,1967,Berries nes,800,37500,NaN,NaN,NaN,3000
Bangladesh,1967,Cabbages and other brassicas,5725,70103,NaN,NaN,NaN,40134
Bangladesh,1967,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1967,Cauliflowers and broccoli,5381,61500,NaN,NaN,NaN,33093
Bangladesh,1967,Chick peas,59100,8257,NaN,NaN,NaN,48800
Bangladesh,1967,"Chillies and peppers, dry",80500,6944,NaN,NaN,NaN,55900
Bangladesh,1967,Coconuts,37600,25131,NaN,NaN,NaN,94493
Bangladesh,1967,Cucumbers and gherkins,2519,53108,NaN,NaN,NaN,13378
Bangladesh,1967,Fibre crops nes,350,10000,NaN,NaN,NaN,350
Bangladesh,1967,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
Bangladesh,1967,"Fruit, tropical fresh nes",16700,124132,NaN,NaN,NaN,207300
Bangladesh,1967,Garlic,14600,37603,NaN,NaN,NaN,54900
Bangladesh,1967,Ginger,4700,68085,NaN,NaN,NaN,32000
Bangladesh,1967,Grapefruit (inc. pomelos),700,42857,NaN,NaN,NaN,3000
Bangladesh,1967,"Groundnuts, with shell",28300,14735,NaN,NaN,NaN,41700
Bangladesh,1967,Jute,971000,13019,NaN,NaN,NaN,1264140
Bangladesh,1967,Lemons and limes,1500,26667,NaN,NaN,NaN,4000
Bangladesh,1967,Lentils,70800,7034,NaN,NaN,NaN,49800
Bangladesh,1967,Lettuce and chicory,11500,56522,NaN,NaN,NaN,65000
Bangladesh,1967,Linseed,17800,5112,NaN,NaN,NaN,9100
Bangladesh,1967,Maize,3200,9375,NaN,NaN,NaN,3000
