Area,Item,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Bangladesh,Sweet potatoes,Area harvested,ha,37000,39000,41000,44000,46000,44100,58700,66800,69969,72741,72735,67233,63704,60578,66557,71547,70590,71839,72901,72355,67907,66225,66070,65266,61485,55840,51560,51040,52203,52045,50024,48736,45296,44765,45700,45285,43203,41712,41278,40874,39271,38056,36773,35826,35110,34092,33609,31578,31697,31071,30373,24567,27108,25890,25260,24886,25750,23975,23014
Bangladesh,Sweet potatoes,Yield,hg/ha,89189,89744,90244,90909,95652,102948,124872,115569,115183,117135,114374,111124,108528,105128,107979,110501,107036,108970,109045,109359,103727,104421,108000,109250,111019,109595,106314,109237,104193,98316,96481,96477,95714,95373,95186,96081,93946,95325,92786,92479,90907,90919,90292,89459,88704,90254,90479,97290,96232,98688,97962,102939,97019,100221,100805,104224,102020,102947,102495
Bangladesh,Sweet potatoes,Production,tonnes,330000,350000,370000,400000,440000,454000,733000,772000,805926,852054,831896,747117,691366,636845,718678,790599,755565,782826,794952,791270,704377,691527,713555,713033,682600,611980,548155,557545,543920,511687,482635,470190,433545,426935,435000,435105,405875,397620,383000,378000,357000,346000,332030,320495,311440,307695,304090,307221,305025,306633,297539,252891,263000,259472,254633,259372,262702,246816,235881
Bangladesh,"Tangerines, mandarins, clementines, satsumas",Area harvested,ha,700,700,700,800,700,700,700,700,702,777,647,841,838,915,931,929,925,765,782,781,780,782,804,814,801,768,632,431,429,443,2541,2556,2576,2580,2428,2428,3280,2428,2832,2832,3641,3641,3642,3642,3642,5180,3764,3690,4030,3260,5000,4822,4560,3961,4512,4449,4041,3593,3573
Bangladesh,"Tangerines, mandarins, clementines, satsumas",Yield,hg/ha,71429,71429,71429,75000,71429,57143,57143,57143,68020,55508,60773,42949,43019,40164,38453,38536,38443,31346,30972,31127,31192,25230,28109,30283,26592,22552,23987,22622,21935,22348,32684,35211,32434,32403,32949,32949,26829,32949,28249,31780,30211,30211,32949,32949,27457,36815,46241,42870,39541,63074,39894,41477,43860,45443,46543,47202,57426,61470,63664
Bangladesh,"Tangerines, mandarins, clementines, satsumas",Production,tonnes,5000,5000,5000,6000,5000,4000,4000,4000,4775,4313,3932,3612,3605,3675,3580,3580,3556,2398,2422,2431,2433,1973,2260,2465,2130,1732,1516,975,941,990,8305,9000,8355,8360,8000,8000,8800,8000,8000,9000,11000,11000,12000,12000,10000,19070,17405,15819,15935,20562,19947,20000,20000,18000,21000,21000,23206,22086,22747
Bangladesh,Tea,Area harvested,ha,32000,33000,36000,37000,38000,39765,40975,42443,43302,45604,45604,45604,45604,43162,43161,43099,42998,43183,43183,44091,45165,44543,44575,44553,44610,45700,45785,46424,46470,47418,47629,47657,47782,47786,47780,48015,48308,48598,48562,48600,48600,50990,50977,53215,53239,52609,57580,58005,59000,52236,56670,57900,58300,59925,60424,60059,53856,67043,54001
Bangladesh,Tea,Yield,hg/ha,8294,7087,6833,7631,6998,7192,7151,6715,7002,6862,2633,5278,5968,7453,6809,7911,8610,8870,8478,9006,8585,9190,9468,8507,9703,8315,8211,8748,9378,8241,9451,9575,10234,10571,10883,9929,11035,10407,11532,9465,10700,11375,11280,10820,10815,11025,10160,10172,10085,11486,10676,10799,11365,10643,10940,10739,15198,11657,16793
Bangladesh,Tea,Production,tonnes,26542,23387,24599,28233,26592,28600,29300,28500,30318,31295,12007,24068,27216,32169,29388,34097,37022,38305,36610,39708,38772,40937,42202,37900,43285,38000,37595,40611,43581,39075,45012,45632,48900,50515,52000,47675,53310,50575,56000,46000,52000,58000,57500,57580,57580,58000,58500,59000,59500,60000,60500,62524,66259,63780,66101,64500,81850,78150,90685
Bangladesh,"Tobacco, unmanufactured",Area harvested,ha,41300,43700,41300,40900,41700,44100,45700,45300,45700,45700,43700,41066,47086,46392,45624,49200,68053,55517,49798,45091,51388,55004,52369,51673,51855,53510,46330,47172,45777,45070,38019,36790,36148,36642,36000,36229,34875,32823,31565,31161,29959,30352,30756,30352,29947,31721,30699,29289,29869,38270,48866,50905,48562,50180,51547,46472,45729,42458,59640
Bangladesh,"Tobacco, unmanufactured",Yield,hg/ha,6271,7277,7046,6895,6523,6190,8337,8631,8884,9015,10915,8456,8469,8967,8848,9182,9336,8983,8784,8765,9220,9280,9633,9257,9514,8685,8632,8807,8585,8387,8884,9263,10064,10308,10556,10868,10925,11167,9187,11232,12350,12520,12030,12849,12689,13464,12763,13742,13481,14447,16215,16780,16268,16939,18279,18856,20025,20965,21562
Bangladesh,"Tobacco, unmanufactured",Production,tonnes,25900,31800,29100,28200,27200,27300,38100,39100,40600,41200,47700,34724,39877,41599,40370,45176,63534,49873,43744,39524,47378,51046,50447,47834,49334,46475,39990,41545,39301,37800,33775,34080,36380,37770,38000,39375,38100,36655,29000,35000,37000,38000,37000,39000,38000,42710,39180,40248,40265,55288,79234,85419,79000,85000,94221,87628,91573,89013,128597
Bangladesh,Tomatoes,Area harvested,ha,8071,7476,8099,8190,8043,7987,8015,7931,8486,8529,8581,7373,6859,6835,7972,7752,7786,8227,8549,8763,8753,8775,9250,9530,9548,9705,9935,10914,11132,11704,11711,11594,11655,11776,11895,12183,12579,13066,14164,14569,14985,15384,15584,17925,17725,18769,19408,19642,20424,23817,24772,25627,26300,27114,30594,27342,27666,28130,28205
Bangladesh,Tomatoes,Yield,hg/ha,60593,62562,59326,62421,68657,71064,73792,84795,91440,88591,85248,83077,77533,76876,77057,75095,68583,74225,75707,75325,74227,74405,75184,75902,75058,73349,72818,74221,75071,76188,76283,74189,73574,73429,73371,73270,73992,71897,69189,68639,66733,66953,65416,66909,69078,69945,70556,72833,73796,79864,93839,99672,95437,95891,135193,134636,140506,136878,137441
