Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1964,Oilseeds nes,4856,2032,4185
Bangladesh,1964,"Onions, dry",25500,132100,51804
Bangladesh,1964,Oranges,3900,20000,51282
Bangladesh,1964,"Peas, dry",50000,33000,6600
Bangladesh,1964,Pigeon peas,3642,3048,8369
Bangladesh,1964,Pineapples,7300,44714,61252
Bangladesh,1964,Potatoes,55442,324104,58458
Bangladesh,1964,Pulses nes,140833,107696,7647
Bangladesh,1964,"Rice, paddy",9228955,15753588,17070
Bangladesh,1964,Sesame seed,50991,22352,4384
Bangladesh,1964,Sorghum,809,1016,12559
Bangladesh,1964,Spices nes,29900,77200,25819
Bangladesh,1964,Spinach,1400,6500,46429
Bangladesh,1964,Sugar cane,140023,5448808,389137
Bangladesh,1964,Sugar crops nes,10000,370000,370000
Bangladesh,1964,Sweet potatoes,44000,400000,90909
Bangladesh,1964,"Tangerines, mandarins, clementines, satsumas",800,6000,75000
Bangladesh,1964,Tea,37000,28233,7631
Bangladesh,1964,Tobacco,40900,28200,6895
Bangladesh,1964,Tomatoes,8190,51123,62421
Bangladesh,1964,"Vegetables, fresh nes",75231,378549,50318
Bangladesh,1964,Wheat,57466,6011,34544
Bangladesh,1964,Roots and Tubers,99442,724104,72817
Bangladesh,1964,Vegetables Primary,164400,838200,50985
Bangladesh,1965,Areca nuts,71200,46738,6564
Bangladesh,1965,Bananas,40500,619800,153037
Bangladesh,1965,Barley,20639,12192,5907
Bangladesh,1965,"Bastfibres, others",50700,54540,10757
Bangladesh,1965,"Beans, dry",67583,48768,7216
Bangladesh,1965,"Beans, green",4251,17750,41755
Bangladesh,1965,Berries nes,600,3000,50000
Bangladesh,1965,Cabbages and other brassicas,5745,37472,65225
Bangladesh,1965,Castor oil seed,405,203,5012
Bangladesh,1965,Cauliflowers and broccoli,5400,30898,57219
Bangladesh,1965,Chick peas,51396,37592,7314
Bangladesh,1965,"Chillies and peppers, dry",78500,51700,6586
Bangladesh,1965,Coconuts,21000,85348,40642
Bangladesh,1965,Cucumbers and gherkins,2528,12490,49407
Bangladesh,1965,Fibre crops nes,1100,1000,9091
Bangladesh,1965,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1965,"Fruit, tropical fresh nes",17000,156000,91765
Bangladesh,1965,Garlic,10500,36500,34762
Bangladesh,1965,Ginger,4200,28000,66667
Bangladesh,1965,Grapefruit (inc. pomelos),600,2500,41667
Bangladesh,1965,"Groundnuts, with shell",10117,14224,14060
Bangladesh,1965,Jute,886000,1319220,14890
Bangladesh,1965,Lemons and limes,800,2000,25000
Bangladesh,1965,Lentils,66369,44704,6736
Bangladesh,1965,Lettuce and chicory,10500,60000,57143
Bangladesh,1965,Linseed,21448,9144,4263
Bangladesh,1965,Maize,4047,3048,7532
Bangladesh,1965,"Mangoes, mangosteens, guavas",38000,480000,126316
Bangladesh,1965,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1965,Millet,53000,50800,9585
Bangladesh,1965,Oilseeds nes,4856,2032,4185
Bangladesh,1965,"Onions, dry",27500,145200,52800
Bangladesh,1965,Oranges,3900,20000,51282
Bangladesh,1965,"Peas, dry",50000,33000,6600
Bangladesh,1965,Pigeon peas,3642,3048,8369
Bangladesh,1965,Pineapples,7700,45162,58652
Bangladesh,1965,Potatoes,55442,401320,72386
Bangladesh,1965,Pulses nes,142046,105664,7439
Bangladesh,1965,"Rice, paddy",9360480,15750540,16827
Bangladesh,1965,Sesame seed,50182,24384,4859
Bangladesh,1965,Sorghum,809,1016,12559
Bangladesh,1965,Spices nes,12900,41700,32326
Bangladesh,1965,Spinach,1450,6600,45517
Bangladesh,1965,Sugar cane,144070,6330696,439418
Bangladesh,1965,Sugar crops nes,10500,390000,371429
Bangladesh,1965,Sweet potatoes,46000,440000,95652
Bangladesh,1965,"Tangerines, mandarins, clementines, satsumas",700,5000,71429
Bangladesh,1965,Tea,38000,26592,6998
Bangladesh,1965,Tobacco,41700,27200,6523
Bangladesh,1965,Tomatoes,8043,55221,68657
Bangladesh,1965,"Vegetables, fresh nes",73881,408903,55346
Bangladesh,1965,Wheat,53419,6467,34544
Bangladesh,1965,Roots and Tubers,101442,841320,82936
Bangladesh,1965,Vegetables Primary,164850,905700,54941
Bangladesh,1966,Areca nuts,44900,24385,5431
Bangladesh,1966,Bananas,42100,760000,180523
Bangladesh,1966,Barley,21900,12200,5571
Bangladesh,1966,"Bastfibres, others",23500,26140,11123
Bangladesh,1966,"Beans, dry",78915,60960,7725
Bangladesh,1966,"Beans, green",4222,18244,43212
Bangladesh,1966,Berries nes,800,3700,46250
Bangladesh,1966,Cabbages and other brassicas,5705,38515,67511
Bangladesh,1966,Castor oil seed,405,203,5012
Bangladesh,1966,Cauliflowers and broccoli,5363,31758,59217
Bangladesh,1966,Chick peas,54600,43700,8004
Bangladesh,1966,"Chillies and peppers, dry",77700,52800,6795
Bangladesh,1966,Coconuts,36800,92461,25125
Bangladesh,1966,Cucumbers and gherkins,2510,12838,51147
Bangladesh,1966,Fibre crops nes,900,850,9444
Bangladesh,1966,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1966,"Fruit, tropical fresh nes",15800,143300,90696
Bangladesh,1966,Garlic,13800,50800,36812
Bangladesh,1966,Ginger,4400,30000,68182
Bangladesh,1966,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1966,"Groundnuts, with shell",16600,24400,14699
Bangladesh,1966,Jute,876200,1255680,14331
Bangladesh,1966,Lemons and limes,1500,4000,26667
Bangladesh,1966,Lentils,68000,46700,6868
Bangladesh,1966,Lettuce and chicory,11000,63000,57273
Bangladesh,1966,Linseed,21900,9100,4155
Bangladesh,1966,Maize,3600,3000,8333
Bangladesh,1966,"Mangoes, mangosteens, guavas",38000,495000,130263
Bangladesh,1966,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1966,Millet,52200,49786,9538
Bangladesh,1966,Oilseeds nes,4856,2032,4185
Bangladesh,1966,"Onions, dry",28300,150400,53145
Bangladesh,1966,Oranges,1100,9000,81818
Bangladesh,1966,"Peas, dry",55000,36000,6545
Bangladesh,1966,Pigeon peas,3642,3048,8369
Bangladesh,1966,Pineapples,8100,56900,70247
Bangladesh,1966,Potatoes,60700,493800,81351
Bangladesh,1966,Pulses nes,150100,101600,6769
Bangladesh,1966,"Rice, paddy",9075000,14363000,15827
Bangladesh,1966,Sesame seed,50200,27400,5458
Bangladesh,1966,Sorghum,809,711,8789
Bangladesh,1966,Spices nes,13400,39600,29552
Bangladesh,1966,Spinach,1450,6700,46207
Bangladesh,1966,Sugar cane,153400,7671200,500078
Bangladesh,1966,Sugar crops nes,11300,420000,371681
Bangladesh,1966,Sweet potatoes,44100,454000,102948
Bangladesh,1966,"Tangerines, mandarins, clementines, satsumas",700,4000,57143
Bangladesh,1966,Tea,39765,28600,7192
Bangladesh,1966,Tobacco,44100,27300,6190
Bangladesh,1966,Tomatoes,7987,56759,71064
Bangladesh,1966,"Vegetables, fresh nes",71000,500000,70423
Bangladesh,1966,Wheat,55000,6473,35600
Bangladesh,1966,Roots and Tubers,104800,947800,90439
Bangladesh,1966,Vegetables Primary,166284,1026315,61721
Bangladesh,1967,Areca nuts,38900,26925,6922
Bangladesh,1967,Bananas,43700,741700,169725
Bangladesh,1967,Barley,22700,15200,6696
Bangladesh,1967,"Bastfibres, others",51100,57960,11342
Bangladesh,1967,"Beans, dry",74058,57912,7820
Bangladesh,1967,"Beans, green",4236,19011,44880
Bangladesh,1967,Berries nes,800,3000,37500
Bangladesh,1967,Cabbages and other brassicas,5725,40134,70103
Bangladesh,1967,Castor oil seed,405,203,5012
Bangladesh,1967,Cauliflowers and broccoli,5381,33093,61500
Bangladesh,1967,Chick peas,59100,48800,8257
