Area,Year,Item,Area Harvested,Production,Yeild
Bangladesh,Y1997,"Bastfibres, others",1000,1000,10000
Bangladesh,Y1998,"Bastfibres, others",2024,3000,14822
Bangladesh,Y1999,"Bastfibres, others",2000,2788,13940
Bangladesh,Y2000,"Bastfibres, others",2028,3115,15360
Bangladesh,Y2001,"Bastfibres, others",1995,2917,14622
Bangladesh,Y2002,"Bastfibres, others",2186,3231,14780
Bangladesh,Y2003,"Bastfibres, others",2279,3373,14800
Bangladesh,Y2004,"Bastfibres, others",2408,3506,14560
Bangladesh,Y2005,"Bastfibres, others",3000,5000,16667
Bangladesh,Y2006,"Bastfibres, others",2625,3503,13345
Bangladesh,Y2007,"Bastfibres, others",2629,3295,12533
Bangladesh,Y2008,"Bastfibres, others",2601,3056,11749
Bangladesh,Y2009,"Bastfibres, others",2547,2804,11009
Bangladesh,Y2010,"Bastfibres, others",2476,2556,10323
Bangladesh,Y2011,"Bastfibres, others",2402,2327,9688
Bangladesh,Y2012,"Bastfibres, others",2400,1900,7917
Bangladesh,Y2013,"Bastfibres, others",2400,1900,7917
Bangladesh,Y2014,"Bastfibres, others",3662,2683,7327
Bangladesh,Y2015,"Bastfibres, others",4321,2735,6330
Bangladesh,Y2016,"Bastfibres, others",4888,2678,5479
Bangladesh,Y2017,"Bastfibres, others",5655,2672,4725
Bangladesh,Y2018,"Bastfibres, others",6658,2666,4004
Bangladesh,Y2019,"Bastfibres, others",8037,2660,3310
Bangladesh,Y1961,"Beans, dry",68798,49784,7236
Bangladesh,Y1962,"Beans, dry",73654,49784,6759
Bangladesh,Y1963,"Beans, dry",67988,47752,7024
Bangladesh,Y1964,"Beans, dry",66773,48768,7304
Bangladesh,Y1965,"Beans, dry",67583,48768,7216
Bangladesh,Y1966,"Beans, dry",78915,60960,7725
Bangladesh,Y1967,"Beans, dry",74058,57912,7820
Bangladesh,Y1968,"Beans, dry",78834,60765,7708
Bangladesh,Y1969,"Beans, dry",78951,61979,7850
Bangladesh,Y1970,"Beans, dry",75392,61098,8104
Bangladesh,Y1971,"Beans, dry",71460,60604,8481
Bangladesh,Y1972,"Beans, dry",87000,70000,8046
Bangladesh,Y1973,"Beans, dry",105000,80000,7619
Bangladesh,Y1974,"Beans, dry",130000,90000,6923
Bangladesh,Y1975,"Beans, dry",140000,100000,7143
Bangladesh,Y1976,"Beans, dry",170000,110000,6471
Bangladesh,Y1977,"Beans, dry",175000,115000,6571
Bangladesh,Y1978,"Beans, dry",194000,124000,6392
Bangladesh,Y1979,"Beans, dry",178000,114000,6404
Bangladesh,Y1980,"Beans, dry",170000,109000,6412
Bangladesh,Y1981,"Beans, dry",155000,98000,6323
Bangladesh,Y1982,"Beans, dry",148000,98000,6622
Bangladesh,Y1983,"Beans, dry",144300,93900,6507
Bangladesh,Y1984,"Beans, dry",135100,89400,6617
Bangladesh,Y1985,"Beans, dry",128600,77500,6026
Bangladesh,Y1986,"Beans, dry",122800,80000,6515
Bangladesh,Y1987,"Beans, dry",128400,87000,6776
Bangladesh,Y1988,"Beans, dry",128000,79000,6172
