FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1987-1988,Rajshahi,858180,421215
1987-1988,Rangpur,1382000,868350
1988-1989,Bandarban,16640,14550
1988-1989,Chittagong,702605,514385
1988-1989,Comilla,712680,424130
1988-1989,Khagrachari,23390,18555
1988-1989,Noakhali,674335,372470
1988-1989,Rangamati,15655,11560
1988-1989,Sylhet,803170,373735
1988-1989,Dhaka,367715,148600
1988-1989,Faridpur,669925,174735
1988-1989,Jamalpur,326255,176005
1988-1989,Kishoregonj,383670,234970
1988-1989,Mymensingh,509685,289265
1988-1989,Tangail,88810,39530
1988-1989,Barisal,944635,453095
1988-1989,Jessore,568290,343025
1988-1989,Khulna,972330,462000
1988-1989,Kushtia,204990,140310
1988-1989,Patuakhali,786065,311490
1988-1989,Bogra,487065,325785
1988-1989,Dinajpur,1011355,624425
1988-1989,Pabna,251465,109185
1988-1989,Rajshahi,777010,450810
1988-1989,Rangpur,1308645,844570
1989-1990,Bandarban,17970,16590
1989-1990,Chittagong,673750,526470
1989-1990,Comilla,885545,667890
1989-1990,Khagrachari,22050,18800
1989-1990,Noakhali,657420,379270
1989-1990,Rangamati,16270,13160
1989-1990,Sylhet,980590,575960
1989-1990,Dhaka,430280,241600
1989-1990,Faridpur,532970,195170
1989-1990,Jamalpur,365090,218220
1989-1990,Kishoregonj,465480,313080
1989-1990,Mymensingh,584820,385390
1989-1990,Tangail,305710,170370
1989-1990,Barisal,952930,573240
1989-1990,Jessore,704570,538590
1989-1990,Khulna,1072710,654590
1989-1990,Kushtia,228875,176680
1989-1990,Patuakhali,769080,394960
1989-1990,Bogra,581050,458680
1989-1990,Dinajpur,1082910,763120
1989-1990,Pabna,297125,173840
1989-1990,Rajshahi,1008425,675610
1989-1990,Rangpur,1458990,1070760
1990-1991,Bandarban,18730,16610
1990-1991,Chittagong,660810,537650
1990-1991,Comilla,888160,611860
1990-1991,Khagrachari,24860,24710
1990-1991,Noakhali,660150,303790
1990-1991,Rangamati,17420,15100
1990-1991,Sylhet,1040900,627130
1990-1991,Dhaka,479930,249020
1990-1991,Faridpur,498260,194890
1990-1991,Jamalpur,369140,218770
1990-1991,Kishoregonj,466260,317250
1990-1991,Mymensingh,611070,339460
