FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1984-1985,Dinajpur,34930,38405
1984-1985,Pabna,138320,161300
1984-1985,Rajshahi,143520,159135
1984-1985,Rangpur,152565,154535
1985-1986,Bandarban,3655,3425
1985-1986,Chittagong,304860,292510
1985-1986,Comilla,288665,302109
1985-1986,Khagrachari,9320,9641
1985-1986,Noakhali,147265,135654
1985-1986,Rangamati,13795,13882
1985-1986,Sylhet,624245,378182
1985-1986,Dhaka,241085,263778
1985-1986,Faridpur,123475,142782
1985-1986,Jamalpur,141445,140640
1985-1986,Kishoregonj,426045,379457
1985-1986,Mymensingh,148895,123592
1985-1986,Tangail,175560,229511
1985-1986,Barisal,59030,49010
1985-1986,Jessore,65910,80995
1985-1986,Khulna,84325,74916
1985-1986,Kushtia,16545,19378
1985-1986,Patuakhali,15365,8784
1985-1986,Bogra,219390,270507
1985-1986,Dinajpur,57325,52585
1985-1986,Pabna,141850,180655
1985-1986,Rajshahi,226790,237903
1985-1986,Rangpur,254670,280739
1986-1987,Bandarban,14305,13570
1986-1987,Chittagong,291045,284355
1986-1987,Comilla,283025,304015
1986-1987,Khagrachari,7640,8290
1986-1987,Noakhali,181525,170790
1986-1987,Rangamati,10285,9530
1986-1987,Sylhet,605860,386915
1986-1987,Dhaka,261495,309850
1986-1987,Faridpur,146465,160025
1986-1987,Jamalpur,164075,169525
1986-1987,Kishoregonj,434585,427930
1986-1987,Mymensingh,193565,175080
1986-1987,Tangail,193400,229805
1986-1987,Barisal,49125,45260
1986-1987,Jessore,95690,115300
1986-1987,Khulna,65510,59610
1986-1987,Kushtia,16305,21130
1986-1987,Patuakhali,12010,5385
1986-1987,Bogra,232650,249705
1986-1987,Dinajpur,74195,71300
1986-1987,Pabna,151015,162820
1986-1987,Rajshahi,271160,289235
1986-1987,Rangpur,329315,340975
1987-1988,Bandarban,5860,6341
1987-1988,Chittagong,262853,264849
1987-1988,Comilla,395225,436746
1987-1988,Khagrachari,7145,6754
1987-1988,Noakhali,186574,179716
1987-1988,Rangamati,9680,9181
1987-1988,Sylhet,555183,350994
1987-1988,Dhaka,345988,330768
1987-1988,Faridpur,182018,215736
1987-1988,Jamalpur,219325,222365
1987-1988,Kishoregonj,549964,537147
1987-1988,Mymensingh,265522,193960
1987-1988,Tangail,204707,217278
1987-1988,Barisal,49561,45117
1987-1988,Jessore,158700,210309
1987-1988,Khulna,79590,78398
1987-1988,Kushtia,23747,26908
1987-1988,Patuakhali,10890,4289
1987-1988,Bogra,348308,376010
1987-1988,Dinajpur,86615,87211
1987-1988,Pabna,215500,219167
1987-1988,Rajshahi,293341,319758
1987-1988,Rangpur,394157,391777
1988-1989,Bandarban,5720,5990
1988-1989,Chittagong,274660,266950
1988-1989,Comilla,523485,577150
1988-1989,Khagrachari,3520,2650
1988-1989,Noakhali,275450,245155
1988-1989,Rangamati,11520,9925
1988-1989,Sylhet,697730,430065
1988-1989,Dhaka,440640,430850
1988-1989,Faridpur,342290,360765
1988-1989,Jamalpur,252770,236180
1988-1989,Kishoregonj,591875,597835
1988-1989,Mymensingh,233660,218290
1988-1989,Tangail,220720,237455
1988-1989,Barisal,72310,67665
1988-1989,Jessore,325800,401340
1988-1989,Khulna,105940,90555
1988-1989,Kushtia,41260,45605
1988-1989,Patuakhali,6720,4110
1988-1989,Bogra,387410,428770
1988-1989,Dinajpur,151090,142895
1988-1989,Pabna,223340,245660
1988-1989,Rajshahi,379345,346075
1988-1989,Rangpur,458555,439325
1989-1990,Bandarban,5680,5610
1989-1990,Chittagong,286370,290260
1989-1990,Comilla,520140,592700
1989-1990,Khagrachari,3580,2860
1989-1990,Noakhali,300880,314940
1989-1990,Rangamati,12660,112700
1989-1990,Sylhet,694050,394700
1989-1990,Dhaka,482740,512220
1989-1990,Faridpur,296890,351390
1989-1990,Jamalpur,254020,246160
1989-1990,Kishoregonj,601780,573450
1989-1990,Mymensingh,256040,241880
1989-1990,Tangail,223730,255020
1989-1990,Barisal,149460,151290
1989-1990,Jessore,281470,316740
1989-1990,Khulna,104980,90870
1989-1990,Kushtia,48480,53070
1989-1990,Patuakhali,4740,2960
1989-1990,Bogra,420520,938880
1989-1990,Dinajpur,155710,166120
1989-1990,Pabna,243220,272330
1989-1990,Rajshahi,426890,418780
1989-1990,Rangpur,430890,461820
1990-1991,Bandarban,5750,5410
1990-1991,Chittagong,298570,196620
1990-1991,Comilla,499010,555360
1990-1991,Khagrachari,3970,3020
1990-1991,Noakhali,329260,321600
1990-1991,Rangamati,12480,10170
1990-1991,Sylhet,708420,467160
1990-1991,Dhaka,499730,580800
1990-1991,Faridpur,297360,348940
1990-1991,Jamalpur,245760,261960
1990-1991,Kishoregonj,605580,541780
1990-1991,Mymensingh,262890,272760
1990-1991,Tangail,214630,237930
1990-1991,Barisal,156200,146130
1990-1991,Jessore,276460,356130
1990-1991,Khulna,113390,100290
1990-1991,Kushtia,56810,61020
1990-1991,Patuakhali,6420,3750
1990-1991,Bogra,450460,473860
1990-1991,Dinajpur,152550,169890
1990-1991,Pabna,238550,276680
1990-1991,Rajshahi,420130,512710
1990-1991,Rangpur,442790,452680
1991-1992,Bandarban,6210,5890
1991-1992,Chittagong,305820,293840
1991-1992,Comilla,543480,615970
1991-1992,Khagrachari,4040,3560
1991-1992,Noakhali,344000,364650
1991-1992,Rangamati,14540,12960
1991-1992,Sylhet,748640,535320
1991-1992,Dhaka,485920,566960
1991-1992,Faridpur,282460,300520
1991-1992,Jamalpur,248500,276900
1991-1992,Kishoregonj,627310,603990
1991-1992,Mymensingh,276200,294280
1991-1992,Tangail,217930,245070
1991-1992,Barisal,148560,146420
1991-1992,Jessore,287380,367420
1991-1992,Khulna,137350,117150
1991-1992,Kushtia,64490,67460
1991-1992,Patuakhali,12550,10730
1991-1992,Bogra,458600,489890
1991-1992,Dinajpur,180480,204730
1991-1992,Pabna,245870,285930
1991-1992,Rajshahi,427680,522710
1991-1992,Rangpur,443380,471860
1992-1993,Bandarban,6540,6930
1992-1993,Chittagong,307400,282470
1992-1993,Comilla,561330,610430
1992-1993,Khagrachari,4120,3640
1992-1993,Noakhali,283200,245960
1992-1993,Rangamati,12870,11620
1992-1993,Sylhet,684270,456760
1992-1993,Dhaka,502710,552590
1992-1993,Faridpur,232260,263530
1992-1993,Jamalpur,257700,281170
1992-1993,Kishoregonj,631510,617830
1992-1993,Mymensingh,285290,291300
1992-1993,Tangail,221360,249610
1992-1993,Barisal,118930,124130
1992-1993,Jessore,319190,365870
1992-1993,Khulna,156330,159870
1992-1993,Kushtia,66680,66120
1992-1993,Patuakhali,14000,12260
1992-1993,Bogra,450140,503940
