DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Khulna,2011-2012,118943,171587
Khulna,2012-2013,115081,172068
Khulna,2013-2014,121589,198721
Khulna,2014-2015,121130,190876
Khustia,2006-2007,71200,102880
Khustia,2007-2008,81000,129268
Khustia,2008-2009,85519,138365
Khustia,2009-2010,76753,124432
Khustia,2010-2011,80184,133659
Khustia,2011-2012,84182,140213
Khustia,2012-2013,88576,154365
Khustia,2013-2014,87037,142749
Khustia,2014-2015,10978,14829
Kishoregonj,1969-1970,427595,359105
Kishoregonj,1970-1971,445000,338145
Kishoregonj,1971-1972,420240,287135
Kishoregonj,1972-1973,452010,315185
Kishoregonj,1973-1974,444915,318280
Kishoregonj,1974-1975,445000,323790
Kishoregonj,1975-1976,450000,344440
Kishoregonj,1976-1977,357910,289270
Kishoregonj,1977-1978,408140,311245
Kishoregonj,1978-1979,413000,252095
Kishoregonj,1979-1980,444100,330900
Kishoregonj,1980-1981,451445,373095
Kishoregonj,1981-1982,454155,447775
Kishoregonj,1982-1983,460990,424780
Kishoregonj,1983-1984,447170,390155
Kishoregonj,1984-1985,481775,484590
Kishoregonj,1985-1986,426045,379457
Kishoregonj,1986-1987,434585,427930
Kishoregonj,1987-1988,549964,537147
Kishoregonj,1988-1989,591875,597835
Kishoregonj,1989-1990,601780,573450
Kishoregonj,1990-1991,605580,541780
Kishoregonj,1991-1992,627310,603990
Kishoregonj,1992-1993,631510,617830
Kishoregonj,1993-1994,662560,735400
Kishoregonj,1994-1995,672500,634460
Kishoregonj,1995-1996,695230,723800
Kishoregonj,1996-1997,681350,727130
Kishoregonj,1997-1998,698400,806730
Kishoregonj,1998-1999,736950,835030
Kishoregonj,1999-2000,791260,960670
Kishoregonj,2000-2001,675740,885010
Kishoregonj,2001-2002,682230,843070
Kishoregonj,2002-2003,693540,857550
Kishoregonj,2003-2004,602050,749790
Kishoregonj,2004-2005,649351,902634
Kishoregonj,2005-2006,712655,1029226
Kishoregonj,2006-2007,366940,493375
Kishoregonj,2007-2008,399720,679546
Kishoregonj,2008-2009,422098,679655
Kishoregonj,2009-2010,388959,621424
Kishoregonj,2010-2011,430006,731186
Kishoregonj,2011-2012,422093,704645
Kishoregonj,2012-2013,417272,706897
Kishoregonj,2013-2014,411155,673689
Kishoregonj,2014-2015,322547,503034
Kurigram,2006-2007,209180,332317
Kurigram,2007-2008,216485,345137
Kurigram,2008-2009,221395,353901
Kurigram,2009-2010,231721,378907
Kurigram,2010-2011,231337,379119
Kurigram,2011-2012,235599,371557
Kurigram,2012-2013,230262,393727
Kurigram,2013-2014,239508,410475
Kurigram,2014-2015,249683,416497
Kushtia,1969-1970,2850,2890
Kushtia,1970-1971,4980,4710
Kushtia,1971-1972,3590,2610
Kushtia,1972-1973,5050,4655
Kushtia,1973-1974,5930,4820
Kushtia,1974-1975,7800,5815
Kushtia,1975-1976,5520,3930
Kushtia,1976-1977,5265,4355
Kushtia,1977-1978,3565,2755
Kushtia,1978-1979,3405,2480
Kushtia,1979-1980,9180,4965
Kushtia,1980-1981,5200,4020
Kushtia,1981-1982,8840,7205
Kushtia,1982-1983,10060,8885
Kushtia,1983-1984,8555,6760
Kushtia,1984-1985,9575,10250
