DistrictName,Financial Year,TotalArea(Acres),TotalProduction(Tons)
Faridpur,2012-2013,20142,9068
Faridpur,2013-2014,18764,9272
Faridpur,2014-2015,16626,10599
Feni,2006-2007,34435,25262
Feni,2007-2008,32765,18206
Feni,2008-2009,34055,24654
Feni,2009-2010,29975,24875
Feni,2010-2011,29604,22156
Feni,2011-2012,30420,29897
Feni,2012-2013,30734,27255
Feni,2013-2014,33181,27035
Feni,2014-2015,29269,26338
Gaibandha,2006-2007,40,46
Gaibandha,2007-2008,25,14
Gaibandha,2008-2009,785,535
Gaibandha,2009-2010,386,299
Gaibandha,2010-2011,342,266
Gaibandha,2011-2012,281,222
Gaibandha,2012-2013,145,110
Gaibandha,2013-2014,110,80
Gaibandha,2014-2015,804,600
Gazipur,2006-2007,5970,3846
Gazipur,2007-2008,6445,4328
Gazipur,2008-2009,6595,4199
Gazipur,2009-2010,6145,4086
Gazipur,2010-2011,5763,3869
Gazipur,2011-2012,5258,4103
Gazipur,2012-2013,5258,3730
Gazipur,2013-2014,6004,6324
Gazipur,2014-2015,4131,4071
Gopalgonj,2006-2007,17625,5316
Gopalgonj,2007-2008,8980,3181
Gopalgonj,2008-2009,10115,3829
Gopalgonj,2009-2010,12392,4332
Gopalgonj,2010-2011,8663,2940
Gopalgonj,2011-2012,8006,2847
Gopalgonj,2012-2013,7684,3224
Gopalgonj,2013-2014,7708,5669
Gopalgonj,2014-2015,6598,3953
Hobigonj,2006-2007,67250,55222
Hobigonj,2007-2008,71425,46895
Hobigonj,2008-2009,73555,62773
Hobigonj,2009-2010,83005,80321
Hobigonj,2010-2011,84356,78956
Hobigonj,2011-2012,85208,83736
Hobigonj,2012-2013,83168,77575
Hobigonj,2013-2014,84818,86459
Hobigonj,2014-2015,86028,83460
Jamalpur,1979-1980,295850,117860
Jamalpur,1980-1981,332705,134955
Jamalpur,1981-1982,65,301530
Jamalpur,1982-1983,316910,137880
Jamalpur,1983-1984,304010,127990
Jamalpur,1984-1985,301940,122234
Jamalpur,1985-1986,283310,119840
Jamalpur,1986-1987,232775,108055
Jamalpur,1987-1988,0,203925
Jamalpur,1988-1989,171525,69625
Jamalpur,1989-1990,157090,60625
Jamalpur,1990-1991,161000,58830
Jamalpur,1991-1992,150440,55060
Jamalpur,1992-1993,150440,55060
Jamalpur,1993-1994,136160,53840
Jamalpur,1994-1995,158960,54870
Jamalpur,1995-1996,19270,11760
Jamalpur,1996-1997,125250,44000
Jamalpur,1997-1998,111410,41710
Jamalpur,1998-1999,89160,31990
Jamalpur,1999-2000,73760,28300
Jamalpur,2000-2001,65140,32470
Jamalpur,2001-2002,51960,28010
Jamalpur,2002-2003,46760,22930
Jamalpur,2003-2004,43050,20070
Jamalpur,2004-2005,31470,12700
Jamalpur,2005-2006,32126,17193
Jamalpur,2006-2007,1480,739
Jamalpur,2007-2008,1375,885
Jamalpur,2008-2009,3255,1412
Jamalpur,2009-2010,2793,1539
Jamalpur,2010-2011,4220,1975
Jamalpur,2011-2012,2395,1700
Jamalpur,2012-2013,1646,1062
Jamalpur,2013-2014,1842,1059
Jamalpur,2014-2015,3562,2530
Jessore,1969-1970,636155,214345
Jessore,1970-1971,7505,637010
Jessore,1971-1972,626820,203210
Jessore,1972-1973,561830,176050
Jessore,1973-1974,607925,212720
Jessore,1974-1975,689660,263875
Jessore,1975-1976,710400,275895
Jessore,1976-1977,676210,253420
Jessore,1977-1978,637130,273115
Jessore,1978-1979,619325,261270
Jessore,1979-1980,577205,207870
Jessore,1980-1981,574185,224330
Jessore,1981-1982,0,538100
Jessore,1982-1983,516390,172050
Jessore,1983-1984,510865,165360
Jessore,1984-1985,443880,161406
Jessore,1985-1986,396590,156665
Jessore,1986-1987,532090,240375
Jessore,1987-1988,0,552800
Jessore,1988-1989,517310,229615
Jessore,1989-1990,380225,172115
Jessore,1990-1991,324580,150680
Jessore,1991-1992,357200,189030
Jessore,1992-1993,357200,189030
Jessore,1993-1994,246970,112100
Jessore,1994-1995,231300,116180
Jessore,1995-1996,50610,45130
Jessore,1996-1997,200840,110800
Jessore,1997-1998,237110,143420
Jessore,1998-1999,247250,143410
Jessore,1999-2000,247890,134770
Jessore,2000-2001,220870,152920
Jessore,2001-2002,170780,115200
Jessore,2002-2003,173240,127630
Jessore,2003-2004,165240,114240
Jessore,2004-2005,140540,113280
Jessore,2005-2006,142599,116121
Jessore,2006-2007,72520,75625
Jessore,2007-2008,86660,80571
Jessore,2008-2009,99345,93031
Jessore,2009-2010,80943,71742
Jessore,2010-2011,110794,106195
Jessore,2011-2012,107093,106649
Jessore,2012-2013,150043,111964
Jessore,2013-2014,149043,105251
Jessore,2014-2015,84690,96397
Jhalakathi,2006-2007,53915,34461
Jhalakathi,2007-2008,51570,35671
Jhalakathi,2008-2009,55735,40202
Jhalakathi,2009-2010,51108,39107
Jhalakathi,2010-2011,57781,43383
Jhalakathi,2011-2012,61609,44006
Jhalakathi,2012-2013,52630,40919
Jhalakathi,2013-2014,51019,44909
Jhalakathi,2014-2015,46135,36433
Jhenaidah,2006-2007,31065,22234
Jhenaidah,2007-2008,42005,30906
Jhenaidah,2008-2009,56205,50131
Jhenaidah,2009-2010,66864,55054
Jhenaidah,2010-2011,59948,54958
Jhenaidah,2011-2012,64671,61597
Jhenaidah,2012-2013,106754,92321
Jhenaidah,2013-2014,104754,113110
Jhenaidah,2014-2015,52867,59845
Joypurhat,2006-2007,420,321
Joypurhat,2007-2008,220,155
Joypurhat,2008-2009,125,95
Joypurhat,2009-2010,70,32
Joypurhat,2010-2011,136,106
Joypurhat,2011-2012,78,64
Joypurhat,2012-2013,24,19
Joypurhat,2013-2014,24,19
Joypurhat,2014-2015,0,0
Khagrachari,1979-1980,0,0
Khagrachari,1980-1981,0,0
Khagrachari,1981-1982,0,0
Khagrachari,1982-1983,0,0
Khagrachari,1983-1984,0,0
Khagrachari,1984-1985,21075,11943
Khagrachari,1985-1986,19105,11945
Khagrachari,1986-1987,11820,8195
Khagrachari,1987-1988,890,10630
Khagrachari,1988-1989,8375,4570
Khagrachari,1989-1990,5090,3010
Khagrachari,1990-1991,5330,3870
Khagrachari,1991-1992,5870,3990
Khagrachari,1992-1993,5870,3990
Khagrachari,1993-1994,4090,2870
Khagrachari,1994-1995,3950,2930
Khagrachari,1995-1996,2820,2330
Khagrachari,1996-1997,4190,3050
Khagrachari,1997-1998,5870,4150
Khagrachari,1998-1999,3040,1670
Khagrachari,1999-2000,2700,1680
Khagrachari,2000-2001,3700,2830
Khagrachari,2001-2002,5200,3850
Khagrachari,2002-2003,5790,4640
Khagrachari,2003-2004,5870,6640
Khagrachari,2004-2005,6100,5890
Khagrachari,2005-2006,7384,6991
Khagrachari,2006-2007,6585,5111
Khagrachari,2007-2008,6545,5791
Khagrachari,2008-2009,6440,4864
Khagrachari,2009-2010,5891,4382
Khagrachari,2010-2011,6072,4763
Khagrachari,2011-2012,5961,5182
Khagrachari,2012-2013,6243,4943
Khagrachari,2013-2014,6114,4570
Khagrachari,2014-2015,6406,4687
Khulna,1969-1970,119700,49115
Khulna,1970-1971,6590,83640
Khulna,1971-1972,93475,40365
Khulna,1972-1973,72400,20215
Khulna,1973-1974,102755,39345
Khulna,1974-1975,108965,53135
Khulna,1975-1976,105785,45630
Khulna,1976-1977,106535,47180
Khulna,1977-1978,109320,46255
Khulna,1978-1979,110175,50365
Khulna,1979-1980,106240,46675
Khulna,1980-1981,176710,80420
Khulna,1981-1982,5,114030
Khulna,1982-1983,124055,57430
Khulna,1983-1984,124525,57070
Khulna,1984-1985,73860,28084
Khulna,1985-1986,83680,32150
Khulna,1986-1987,84365,37430
Khulna,1987-1988,0,102505
Khulna,1988-1989,123975,58115
Khulna,1989-1990,102320,46045
Khulna,1990-1991,92660,48270
Khulna,1991-1992,86110,57100
Khulna,1992-1993,86110,57100
Khulna,1993-1994,104290,64210
Khulna,1994-1995,93930,56710
Khulna,1995-1996,27580,22200
Khulna,1996-1997,57310,36250
Khulna,1997-1998,55050,35760
Khulna,1998-1999,46960,32120
Khulna,1999-2000,52020,32700
Khulna,2000-2001,31390,20670
Khulna,2001-2002,32080,22490
Khulna,2002-2003,29720,20940
Khulna,2003-2004,29550,21210
Khulna,2004-2005,32830,23280
Khulna,2005-2006,32223,24482
Khulna,2006-2007,10750,5557
Khulna,2007-2008,13695,8060
Khulna,2008-2009,18980,11594
Khulna,2009-2010,14517,8320
Khulna,2010-2011,13986,8569
Khulna,2011-2012,17965,10584
Khulna,2012-2013,20883,19150
Khulna,2013-2014,19414,17413
Khulna,2014-2015,8392,4525
Khustia,2006-2007,58880,41294
Khustia,2007-2008,67255,38256
Khustia,2008-2009,88225,65995
Khustia,2009-2010,87106,62781
Khustia,2010-2011,106143,91493
Khustia,2011-2012,111408,104178
Khustia,2012-2013,21873,18113
Khustia,2013-2014,21599,18613
Kishoregonj,1969-1970,218880,54375
Kishoregonj,1970-1971,1075,231180
Kishoregonj,1971-1972,240585,63310
Kishoregonj,1972-1973,220290,67895
Kishoregonj,1973-1974,273055,99485
Kishoregonj,1974-1975,266980,95545
Kishoregonj,1975-1976,320755,136050
Kishoregonj,1976-1977,251410,102635
Kishoregonj,1977-1978,233025,102005
Kishoregonj,1978-1979,205575,83750
Kishoregonj,1979-1980,221670,78830
Kishoregonj,1980-1981,283930,114710
Kishoregonj,1981-1982,1270,309765
Kishoregonj,1982-1983,325670,128285
Kishoregonj,1983-1984,295580,144000
Kishoregonj,1984-1985,286135,140330
Kishoregonj,1985-1986,264660,125830
Kishoregonj,1986-1987,246735,124735
Kishoregonj,1987-1988,0,285670
Kishoregonj,1988-1989,138640,70240
Kishoregonj,1989-1990,189485,99270
Kishoregonj,1990-1991,165880,87710
Kishoregonj,1991-1992,167490,93530
Kishoregonj,1992-1993,167490,93530
Kishoregonj,1993-1994,170730,104860
Kishoregonj,1994-1995,159260,81100
Kishoregonj,1995-1996,103420,62850
Kishoregonj,1996-1997,142730,77710
Kishoregonj,1997-1998,142570,79940
Kishoregonj,1998-1999,135850,61650
Kishoregonj,1999-2000,131680,81420
Kishoregonj,2000-2001,139750,95560
Kishoregonj,2001-2002,102820,72310
Kishoregonj,2002-2003,94900,69200
Kishoregonj,2003-2004,89470,64380
Kishoregonj,2004-2005,76090,41300
Kishoregonj,2005-2006,75273,60797
Kishoregonj,2006-2007,44995,37659
Kishoregonj,2007-2008,32135,25072
Kishoregonj,2008-2009,40460,33845
Kishoregonj,2009-2010,42450,33830
Kishoregonj,2010-2011,52394,41973
Kishoregonj,2011-2012,52893,44564
Kishoregonj,2012-2013,46128,40132
Kishoregonj,2013-2014,48461,47548
Kishoregonj,2014-2015,47331,45640
Kurigram,2006-2007,4830,2046
Kurigram,2007-2008,2340,1310
Kurigram,2008-2009,895,516
Kurigram,2009-2010,596,214
Kurigram,2010-2011,536,286
Kurigram,2011-2012,538,306
Kurigram,2012-2013,335,219
Kurigram,2013-2014,412,248
Kurigram,2014-2015,2057,1621
Kushtia,1969-1970,359405,97455
Kushtia,1970-1971,11100,336900
Kushtia,1971-1972,324890,73505
Kushtia,1972-1973,284165,99300
Kushtia,1973-1974,363280,123980
Kushtia,1974-1975,382675,146880
Kushtia,1975-1976,350320,125975
Kushtia,1976-1977,371605,112540
Kushtia,1977-1978,351520,135620
Kushtia,1978-1979,370125,151070
Kushtia,1979-1980,315905,107760
Kushtia,1980-1981,343565,141530
Kushtia,1981-1982,0,360190
Kushtia,1982-1983,360230,95340
Kushtia,1983-1984,308445,134345
Kushtia,1984-1985,330700,172190
Kushtia,1985-1986,327915,170345
Kushtia,1986-1987,396250,197805
Kushtia,1987-1988,0,418935
Kushtia,1988-1989,389420,193575
Kushtia,1989-1990,306975,149965
Kushtia,1990-1991,296170,166380
Kushtia,1991-1992,263360,140570
Kushtia,1992-1993,263360,140570
Kushtia,1993-1994,249370,137410
Kushtia,1994-1995,212880,117090
Kushtia,1995-1996,19110,18100
Kushtia,1996-1997,182680,98690
Kushtia,1997-1998,178890,97250
Kushtia,1998-1999,183420,105650
Kushtia,1999-2000,177530,110540
Kushtia,2000-2001,173320,106020
Kushtia,2001-2002,152690,95370
Kushtia,2002-2003,142430,86110
Kushtia,2003-2004,130630,74560
Kushtia,2004-2005,90310,63580
Kushtia,2005-2006,98548,75932
