DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Faridpur,1987-1988,687575,211715
Faridpur,1988-1989,669925,174735
Faridpur,1989-1990,532970,195170
Faridpur,1990-1991,498260,194890
Faridpur,1991-1992,549470,246230
Faridpur,1992-1993,602080,266490
Faridpur,1993-1994,540080,204900
Faridpur,1994-1995,599730,220370
Faridpur,1995-1996,558910,202560
Faridpur,1996-1997,561970,245790
Faridpur,1997-1998,545440,234360
Faridpur,1998-1999,390940,136560
Faridpur,1999-2000,534010,265530
Faridpur,2000-2001,553110,331350
Faridpur,2001-2002,579080,579080
Faridpur,2002-2003,539340,284220
Faridpur,2003-2004,588460,343150
Faridpur,2004-2005,496334,221808
Faridpur,2005-2006,467313,267363
Faridpur,2006-2007,125510,79694
Faridpur,2007-2008,71050,38652
Faridpur,2008-2009,127510,96689
Faridpur,2009-2010,144020,113613
Faridpur,2010-2011,145794,114918
Faridpur,2011-2012,135648,108093
Faridpur,2012-2013,144018,116323
Faridpur,2013-2014,159560,131450
Faridpur,2014-2015,128015,120064
Feni,2006-2007,144220,145924
Feni,2007-2008,107910,104925
Feni,2008-2009,127440,125732
Feni,2009-2010,141039,147174
Feni,2010-2011,162124,191320
Feni,2011-2012,162522,188358
Feni,2012-2013,159379,182253
Feni,2013-2014,165594,196532
Feni,2014-2015,163459,187203
Gaibandha,2006-2007,277915,236034
Gaibandha,2007-2008,252360,190058
Gaibandha,2008-2009,266350,243014
Gaibandha,2009-2010,288718,232193
Gaibandha,2010-2011,290289,266465
Gaibandha,2011-2012,287735,294861
Gaibandha,2012-2013,285862,292446
Gaibandha,2013-2014,297344,305946
Gaibandha,2014-2015,310915,322175
Gazipur,2006-2007,94180,82692
Gazipur,2007-2008,98380,93956
Gazipur,2008-2009,104535,105450
Gazipur,2009-2010,108813,125245
Gazipur,2010-2011,108364,125950
Gazipur,2011-2012,105849,116994
Gazipur,2012-2013,105465,111453
Gazipur,2013-2014,104706,97502
Gazipur,2014-2015,103869,101542
Gopalgonj,2006-2007,78755,26925
Gopalgonj,2007-2008,46205,15537
Gopalgonj,2008-2009,70375,37598
Gopalgonj,2009-2010,96463,40041
Gopalgonj,2010-2011,91754,42749
