Area,Year,Item,Area Harvested,Yield,Production
Bangladesh,1967,Sorghum,809,7540,610
Bangladesh,1967,Spices nes,13400,31119,41700
Bangladesh,1967,Spinach,1500,45333,6800
Bangladesh,1967,Sugar cane,164300,499087,8200000
Bangladesh,1967,Sugar crops nes,12400,362903,450000
Bangladesh,1967,Sweet potatoes,58700,124872,733000
Bangladesh,1967,"Tangerines, mandarins, clementines, satsumas",700,57143,4000
Bangladesh,1967,Tea,40975,7151,29300
Bangladesh,1967,Tobacco,45700,8337,38100
Bangladesh,1967,Tomatoes,8015,73792,59144
Bangladesh,1967,"Vegetables, fresh nes",73000,71233,520000
Bangladesh,1967,Wheat,68000,53900,7926
Bangladesh,1967,Roots and Tubers,129100,103292,1333500
Bangladesh,1967,Vegetables Primary,175876,63167,1110950
Bangladesh,1968,Areca nuts,38000,7487,28449
Bangladesh,1968,Bananas,43284,177225,767100
Bangladesh,1968,Barley,24700,6599,16300
Bangladesh,1968,"Bastfibres, others",25205,10683,26926
Bangladesh,1968,"Beans, dry",78834,7708,60765
Bangladesh,1968,"Beans, green",4192,51565,21616
Bangladesh,1968,Berries nes,600,55000,3300
Bangladesh,1968,Cabbages and other brassicas,5665,80554,45634
Bangladesh,1968,Castor oil seed,425,6212,264
Bangladesh,1968,Cauliflowers and broccoli,5325,70663,37628
Bangladesh,1968,Chick peas,61500,7772,47800
Bangladesh,1968,"Chillies and peppers, dry",86200,6949,59900
Bangladesh,1968,Coconuts,25326,31690,80258
Bangladesh,1968,Cucumbers and gherkins,2493,61015,15211
Bangladesh,1968,Fibre crops nes,297,9024,268
Bangladesh,1968,"Fruit, fresh nes",9300,64516,60000
Bangladesh,1968,"Fruit, tropical fresh nes",17000,129118,219500
Bangladesh,1968,Garlic,14600,37603,54900
Bangladesh,1968,Ginger,5000,68000,34000
Bangladesh,1968,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1968,"Groundnuts, with shell",33600,15714,52800
Bangladesh,1968,Jute,897000,11763,1055160
Bangladesh,1968,Lemons and limes,1500,26667,4000
Bangladesh,1968,Lentils,68400,6988,47800
Bangladesh,1968,Lettuce and chicory,12000,56667,68000
Bangladesh,1968,Linseed,15000,4733,7100
Bangladesh,1968,Maize,3200,9375,3000
Bangladesh,1968,"Mangoes, mangosteens, guavas",39000,145641,568000
Bangladesh,1968,"Melons, other (inc.cantaloupes)",6600,166667,110000
Bangladesh,1968,Millet,82419,7986,65816
Bangladesh,1968,Oilseeds nes,3642,5579,2032
Bangladesh,1968,"Onions, dry",34400,57587,198100
Bangladesh,1968,Oranges,1100,90909,10000
Bangladesh,1968,"Peas, dry",65000,6615,43000
Bangladesh,1968,Pigeon peas,3642,8369,3048
Bangladesh,1968,Pineapples,10500,91905,96500
Bangladesh,1968,Potatoes,76100,93601,712300
Bangladesh,1968,Pulses nes,109300,8088,88400
Bangladesh,1968,"Rice, paddy",9742100,17466,17015504
Bangladesh,1968,Sesame seed,53000,5943,31500
Bangladesh,1968,Sorghum,1078,4712,508
Bangladesh,1968,Spices nes,11700,26068,30500
Bangladesh,1968,Spinach,1500,45333,6800
Bangladesh,1968,Sugar cane,166700,462555,7710800
Bangladesh,1968,Sugar crops nes,13800,362319,500000
Bangladesh,1968,Sweet potatoes,66800,115569,772000
Bangladesh,1968,"Tangerines, mandarins, clementines, satsumas",700,57143,4000
Bangladesh,1968,Tea,42443,6715,28500
Bangladesh,1968,Tobacco,45300,8631,39100
Bangladesh,1968,Tomatoes,7931,84795,67251
Bangladesh,1968,"Vegetables, fresh nes",75000,70667,530000
Bangladesh,1968,Wheat,77700,58900,7580
Bangladesh,1968,Roots and Tubers,142900,103870,1484300
Bangladesh,1968,Vegetables Primary,177948,65212,1160427
Bangladesh,1969,Areca nuts,40900,6455,26400
Bangladesh,1969,Bananas,43083,172863,744744
Bangladesh,1969,Barley,28300,6466,18300
Bangladesh,1969,"Bastfibres, others",38731,11433,44283
Bangladesh,1969,"Beans, dry",78951,7850,61979
Bangladesh,1969,"Beans, green",4150,55834,23171
Bangladesh,1969,Berries nes,591,48257,2852
Bangladesh,1969,Cabbages and other brassicas,5969,84532,50457
Bangladesh,1969,Castor oil seed,426,6315,269
Bangladesh,1969,Cauliflowers and broccoli,5590,73242,40942
Bangladesh,1969,Chick peas,68400,8026,54900
Bangladesh,1969,"Chillies and peppers, dry",87400,7094,62000
Bangladesh,1969,Coconuts,25781,32202,83021
Bangladesh,1969,Cucumbers and gherkins,2573,63082,16231
Bangladesh,1969,Fibre crops nes,259,7606,197
Bangladesh,1969,"Fruit, fresh nes",9340,66201,61832
Bangladesh,1969,"Fruit, tropical fresh nes",18000,120222,216400
Bangladesh,1969,Garlic,14600,37603,54900
Bangladesh,1969,Ginger,5030,73294,36867
Bangladesh,1969,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1969,"Groundnuts, with shell",32400,16296,52800
Bangladesh,1969,Jute,976000,13738,1340820
Bangladesh,1969,Lemons and limes,1500,26667,4000
Bangladesh,1969,Lentils,71600,7235,51800
Bangladesh,1969,Lettuce and chicory,12897,55892,72084
Bangladesh,1969,Linseed,14600,4863,7100
Bangladesh,1969,Maize,3200,9375,3000
Bangladesh,1969,"Mangoes, mangosteens, guavas",40076,112610,451294
Bangladesh,1969,"Melons, other (inc.cantaloupes)",6574,167692,110241
Bangladesh,1969,Millet,81414,7959,64794
Bangladesh,1969,Oilseeds nes,5665,3229,1829
Bangladesh,1969,"Onions, dry",33200,55994,185900
Bangladesh,1969,Oranges,1500,68000,10200
Bangladesh,1969,"Peas, dry",68000,6618,45000
Bangladesh,1969,Pigeon peas,3731,8175,3050
Bangladesh,1969,Pineapples,10900,96972,105700
Bangladesh,1969,Potatoes,84200,94964,799600
Bangladesh,1969,Pulses nes,149080,8224,122610
Bangladesh,1969,"Rice, paddy",10314000,17459,18007296
Bangladesh,1969,Sesame seed,50200,6076,30500
Bangladesh,1969,Sorghum,1086,4678,508
Bangladesh,1969,Spices nes,29716,17784,52848
Bangladesh,1969,Spinach,1550,45161,7000
Bangladesh,1969,Sugar cane,164700,450158,7414100
Bangladesh,1969,Sugar crops nes,14634,367470,537755
Bangladesh,1969,Sweet potatoes,69969,115183,805926
Bangladesh,1969,"Tangerines, mandarins, clementines, satsumas",702,68020,4775
Bangladesh,1969,Tea,43302,7002,30318
Bangladesh,1969,Tobacco,45700,8884,40600
Bangladesh,1969,Tomatoes,8486,91440,77596
Bangladesh,1969,"Vegetables, fresh nes",64047,74262,475623
Bangladesh,1969,Wheat,117400,93500,7964
Bangladesh,1969,Roots and Tubers,154169,104141,1605526
Bangladesh,1969,Vegetables Primary,168499,67001,1128965
Bangladesh,1970,Areca nuts,40100,6580,26385
Bangladesh,1970,Bananas,39204,151362,593400
Bangladesh,1970,Barley,29500,6542,19300
Bangladesh,1970,"Bastfibres, others",27305,10394,28380
Bangladesh,1970,"Beans, dry",75392,8104,61098
Bangladesh,1970,"Beans, green",4549,55403,25203
Bangladesh,1970,Berries nes,600,40000,2400
Bangladesh,1970,Cabbages and other brassicas,6127,83844,51371
Bangladesh,1970,Castor oil seed,439,6469,284
Bangladesh,1970,Cauliflowers and broccoli,5696,74143,42232
Bangladesh,1970,Chick peas,70000,8271,57900
Bangladesh,1970,"Chillies and peppers, dry",89000,7539,67100
Bangladesh,1970,Coconuts,24943,22722,56675
Bangladesh,1970,Cucumbers and gherkins,2736,63560,17390
Bangladesh,1970,Fibre crops nes,263,7529,198
Bangladesh,1970,"Fruit, fresh nes",10216,62155,63498
Bangladesh,1970,"Fruit, tropical fresh nes",17500,119600,209300
Bangladesh,1970,Garlic,14200,38662,54900
Bangladesh,1970,Ginger,5042,74102,37362
Bangladesh,1970,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1970,"Groundnuts, with shell",28300,16502,46700
Bangladesh,1970,Jute,918000,13441,1233900
